避難所_名称,地方公共団体コード,都道府県,指定区市町村名,住所,緯度,経度
麹町小学校,131016,東京都,千代田区,東京都千代田区麹町2-8,35.685344,139.739763
番町小学校,131016,東京都,千代田区,東京都千代田区六番町8,35.687975,139.733800
麹町中学校,131016,東京都,千代田区,東京都千代田区平河町2-5-1,35.680494,139.739246
富士見みらい館,131016,東京都,千代田区,東京都千代田区富士見1-10-3,35.697237,139.746433
お茶の水小学校,131016,東京都,千代田区,東京都千代田区神田猿楽町1-1-1,35.697358,139.760306
神田一橋中学校,131016,東京都,千代田区,東京都千代田区一ツ橋2-6-14,35.694139,139.756771
神田さくら館,131016,東京都,千代田区,東京都千代田区神田司町2-16,35.693041,139.768490
昌平童夢館,131016,東京都,千代田区,東京都千代田区外神田3-4-7,35.701278,139.769874
アーツ千代田3331,131016,東京都,千代田区,東京都千代田区外神田6-11-14,35.704241,139.770812
ちよだパークサイドプラザ,131016,東京都,千代田区,東京都千代田区神田和泉町1,35.699137,139.778427
旧今川中学校,131016,東京都,千代田区,東京都千代田区鍛冶町2-4-2,35.691677,139.772728
都立一橋高校,131016,東京都,千代田区,東京都千代田区東神田1-12-13,35.694662,139.781149
スポーツセンター,131016,東京都,千代田区,東京都千代田区内神田2-1-8,35.689126,139.767544
岩本町ほほえみプラザ,131016,東京都,千代田区,東京都千代田区岩本町2-15-3,35.694347,139.778101
九段小学校,131016,東京都,千代田区,東京都千代田区三番町16,35.690456,139.740402
京橋区民館,131024,東京都,中央区,東京都中央区京橋2-6-7,35.676564,139.771358
泰明小学校,131024,東京都,中央区,東京都中央区銀座5-1-13,35.672362,139.761406
中央小学校,131024,東京都,中央区,東京都中央区湊1-4-1,35.672271,139.778861
明石小学校,131024,東京都,中央区,東京都中央区明石町1-15,35.668866,139.776556
京橋築地小学校,131024,東京都,中央区,東京都中央区築地2-13-1,35.668010,139.771195
明正小学校,131024,東京都,中央区,東京都中央区新川2-13-4,35.676060,139.782072
銀座中学校,131024,東京都,中央区,東京都中央区銀座8-19-15,35.665453,139.764759
京橋プラザ,131024,東京都,中央区,東京都中央区銀座1-25-3,35.673145,139.771591
京華スクエア,131024,東京都,中央区,東京都中央区八丁堀3-17-9,35.674871,139.775829
常盤小学校,131024,東京都,中央区,東京都中央区日本橋本石町4-4-26,35.688464,139.770549
日本橋小学校,131024,東京都,中央区,東京都中央区日本橋人形町1-1-17,35.684688,139.781609
有馬小学校,131024,東京都,中央区,東京都中央区日本橋蛎殻町2-10-23,35.683286,139.787998
久松小学校,131024,東京都,中央区,東京都中央区日本橋久松町7-2,35.689043,139.784330
阪本小学校,131024,東京都,中央区,東京都中央区日本橋兜町15-3,35.679755,139.776483
日本橋中学校,131024,東京都,中央区,東京都中央区東日本橋1-10-1,35.692272,139.786868
十思スクエア,131024,東京都,中央区,東京都中央区日本橋小伝馬町5-1,35.691095,139.776926
佃島小学校,131024,東京都,中央区,東京都中央区佃2-3-1,35.668623,139.784758
佃中学校,131024,東京都,中央区,東京都中央区佃2-3-2,35.668075,139.785086
月島第一小学校,131024,東京都,中央区,東京都中央区月島4-15-1,35.660652,139.780098
月島第二小学校,131024,東京都,中央区,東京都中央区勝どき1-12-2,35.660235,139.775979
月島第三小学校,131024,東京都,中央区,東京都中央区晴海1-4-1,35.658901,139.785824
豊海小学校,131024,東京都,中央区,東京都中央区豊海3-1,35.653467,139.771393
晴海中学校,131024,東京都,中央区,東京都中央区晴海1-5-3,35.659780,139.784455
御成門小学校,131032,東京都,港区,東京都港区芝公園3-2-4,35.661313,139.749789
芝小学校,131032,東京都,港区,東京都港区芝2-21-3,35.650939,139.750074
港勤労福祉会館,131032,東京都,港区,東京都港区芝5-18-2,35.647875,139.748524
赤羽小学校,131032,東京都,港区,東京都港区三田1-4-52,35.653206,139.742383
御成門中学校,131032,東京都,港区,東京都港区西新橋3-25-30,35.661597,139.750418
生涯学習センター,131032,東京都,港区,東京都港区新橋3-16-3,35.665558,139.757077
エコプラザ,131032,東京都,港区,東京都港区浜松町1-13-1,35.658849,139.756888
福祉プラザさくら川,131032,東京都,港区,東京都港区新橋6-19-2,35.661183,139.753792
神明子ども中高生プラザ・神明いきいきプラザ,131032,東京都,港区,東京都港区浜松町1-6-7,35.658827,139.757554
虎ノ門いきいきプラザ,131032,東京都,港区,東京都港区虎ノ門1-21-10,35.667906,139.748713
三田いきいきプラザ,131032,東京都,港区,東京都港区芝4-1-17,35.648753,139.749744
麻布小学校,131032,東京都,港区,東京都港区麻布台1-5-15,35.661943,139.738531
旧飯倉小学校,131032,東京都,港区,東京都港区東麻布2-1-1,35.658228,139.742603
本村小学校,131032,東京都,港区,東京都港区南麻布3-9-33,35.649809,139.729936
東町小学校,131032,東京都,港区,東京都港区南麻布1-8-11,35.650916,139.735874
笄小学校,131032,東京都,港区,東京都港区西麻布3-11-16,35.656465,139.724911
六本木中学校,131032,東京都,港区,東京都港区六本木6-8-16,35.660840,139.732187
高陵中学校,131032,東京都,港区,東京都港区西麻布4-14-8,35.656898,139.720394
南山小学校,131032,東京都,港区,東京都港区元麻布3-8-15,35.657237,139.730659
麻布区民センター,131032,東京都,港区,東京都港区六本木5-16-45,35.660686,139.735083
南麻布いきいきプラザ,131032,東京都,港区,東京都港区南麻布1-5-26,35.651435,139.735101
麻布子ども中高生プラザ・ありすいきいきプラザ,131032,東京都,港区,東京都港区南麻布4-6-7,35.651038,139.727410
西麻布いきいきプラザ,131032,東京都,港区,東京都港区西麻布2-13-3,35.660903,139.722721
飯倉いきいきプラザ,131032,東京都,港区,東京都港区東麻布2-16-11,35.656904,139.740889
赤坂小学校,131032,東京都,港区,東京都港区赤坂8-13-29,35.669426,139.731240
青山小学校,131032,東京都,港区,東京都港区南青山2-21-2,35.669708,139.718907
青南小学校,131032,東京都,港区,東京都港区南青山4-21-15,35.663510,139.716102
赤坂中学校,131032,東京都,港区,東京都港区赤坂9-2-3,35.668180,139.731502
青山中学校,131032,東京都,港区,東京都港区北青山1-1-9,35.674187,139.722053
赤坂区民センター,131032,東京都,港区,東京都港区赤坂4-18-13,35.674663,139.731849
サン・サン赤坂（赤坂子ども中高生プラザ）,131032,東京都,港区,東京都港区赤坂6-6-14,35.669765,139.737726
赤坂いきいきプラザ,131032,東京都,港区,東京都港区赤坂6-4-8,35.670358,139.734939
青山いきいきプラザ,131032,東京都,港区,東京都港区南青山2-16-5,35.669191,139.721243
青南いきいきプラザ,131032,東京都,港区,東京都港区南青山4-10-1,35.666466,139.717313
御田小学校,131032,東京都,港区,東京都港区三田4-11-38,35.643112,139.737888
高輪区民センター,131032,東京都,港区,東京都港区高輪1-16-25,35.642046,139.734018
白金小学校,131032,東京都,港区,東京都港区白金台1-4-26,35.636788,139.728552
旧三光小学校,131032,東京都,港区,東京都港区白金3-18-2,35.644440,139.729255
白金の丘学園白金の丘小・中学校,131032,東京都,港区,東京都港区白金4-1-12,35.643711,139.726930
旧神応小学校,131032,東京都,港区,東京都港区白金6-9-5,35.643643,139.724498
三田中学校,131032,東京都,港区,東京都港区三田4-13-13,35.645230,139.740851
高松中学校,131032,東京都,港区,東京都港区高輪1-16-25,35.640880,139.734094
高輪台小学校,131032,東京都,港区,東京都港区高輪2-8-24,35.636335,139.734386
高輪子ども中高生プラザ,131032,東京都,港区,東京都港区高輪1-4-35,35.642375,139.734832
豊岡いきいきプラザ,131032,東京都,港区,東京都港区三田5-7-7,35.646502,139.739662
高輪いきいきプラザ,131032,東京都,港区,東京都港区高輪3-18-15,35.633201,139.735693
白金いきいきプラザ,131032,東京都,港区,東京都港区白金3-10-12,35.644894,139.731074
白金台いきいきプラザ,131032,東京都,港区,東京都港区白金台4-8-5,35.637714,139.724958
芝浦小学校,131032,東京都,港区,東京都港区芝浦4-8-18,35.638159,139.746311
港南小学校,131032,東京都,港区,東京都港区港南4-3-28,35.629230,139.749645
港南中学校,131032,東京都,港区,東京都港区港南4-3-3,35.631118,139.749061
芝浦港南区民センター,131032,東京都,港区,東京都港区芝浦4-13-1,35.640530,139.748572
みなとパーク芝浦（港区スポーツセンター・男女平等参画センター）,131032,東京都,港区,東京都港区芝浦1-16-1,35.646636,139.751425
港南子ども中高生プラザ,131032,東京都,港区,東京都港区港南4-3-7,35.630944,139.749650
港南いきいきプラザ,131032,東京都,港区,東京都港区港南4-2-1,35.629642,139.747058
お台場学園港陽小・中学校,131032,東京都,港区,東京都港区台場1-1-5,35.633607,139.777149
台場区民センター,131032,東京都,港区,東京都港区台場1-5-1,35.629964,139.777064
四谷小学校,131041,東京都,新宿区,東京都新宿区四谷2-6,35.686461,139.725021
四谷ひろば,131041,東京都,新宿区,東京都新宿区四谷4-20,35.689730,139.717977
四谷第六小学校,131041,東京都,新宿区,東京都新宿区大京町30,35.681170,139.715463
花園小学校,131041,東京都,新宿区,東京都新宿区新宿1-22-1,35.689592,139.713614
四谷中学校,131041,東京都,新宿区,東京都新宿区四谷1-12,35.684009,139.728638
都立新宿高校,131041,東京都,新宿区,東京都新宿区内藤町11-4,35.689182,139.705397
津久戸小学校,131041,東京都,新宿区,東京都新宿区津久戸町2-2,35.702731,139.742010
市谷小学校,131041,東京都,新宿区,東京都新宿区市谷山伏町1-3,35.699751,139.728692
牛込第一中学校,131041,東京都,新宿区,東京都新宿区北山伏町4-1,35.700356,139.730411
牛込第三中学校,131041,東京都,新宿区,東京都新宿区市谷加賀町1-3-1,35.697744,139.731632
江戸川小学校,131041,東京都,新宿区,東京都新宿区水道町1-28,35.707150,139.736490
早稲田小学校,131041,東京都,新宿区,東京都新宿区早稲田南町25,35.703920,139.723519
鶴巻小学校,131041,東京都,新宿区,東京都新宿区早稲田鶴巻町140,35.708300,139.724837
牛込仲之小学校,131041,東京都,新宿区,東京都新宿区市谷仲之町4-33,35.695821,139.723582
牛込第二中学校,131041,東京都,新宿区,東京都新宿区喜久井町20,35.704114,139.722884
都立山吹高校,131041,東京都,新宿区,東京都新宿区山吹町81,35.706852,139.728204
成城学校,131041,東京都,新宿区,東京都新宿区原町3-87,35.698916,139.722754
富久小学校,131041,東京都,新宿区,東京都新宿区富久町7-24,35.692431,139.716272
余丁町小学校,131041,東京都,新宿区,東京都新宿区若松町13-1,35.699350,139.716118
東戸山小学校,131041,東京都,新宿区,東京都新宿区戸山2-34-2,35.702378,139.711211
早稲田大学戸山キャンパス,131041,東京都,新宿区,東京都新宿区戸山1-24,35.706129,139.717894
東京医科大学,131041,東京都,新宿区,東京都新宿区新宿6-1-1,35.693313,139.712041
都立総合芸術高校,131041,東京都,新宿区,東京都新宿区富久町22-1,35.693618,139.716145
大久保小学校,131041,東京都,新宿区,東京都新宿区大久保1-1-21,35.699652,139.705731
天神小学校,131041,東京都,新宿区,東京都新宿区新宿6-14-2,35.695472,139.710005
戸山小学校,131041,東京都,新宿区,東京都新宿区百人町2-1-38,35.703923,139.701964
西戸山小学校,131041,東京都,新宿区,東京都新宿区百人町4-2-1,35.707962,139.699360
新宿中学校,131041,東京都,新宿区,東京都新宿区新宿6-15-22,35.695357,139.710687
西早稲田中学校,131041,東京都,新宿区,東京都新宿区戸山3-20-2,35.707997,139.710145
都立戸山高校,131041,東京都,新宿区,東京都新宿区戸山3-19-1,35.706712,139.710345
戸塚第一小学校,131041,東京都,新宿区,東京都新宿区西早稲田3-10-12,35.710962,139.714731
戸塚第二小学校,131041,東京都,新宿区,東京都新宿区高田馬場1-25-21,35.712153,139.706109
戸塚第三小学校,131041,東京都,新宿区,東京都新宿区高田馬場3-18-21,35.714879,139.697591
新宿ＮＰＯ協働推進センター,131041,東京都,新宿区,東京都新宿区高田馬場4-36-12,35.709530,139.696534
新宿西戸山中学校,131041,東京都,新宿区,東京都新宿区百人町4-3-1,35.708447,139.700905
学習院女子大学,131041,東京都,新宿区,東京都新宿区戸山3-20-1,35.707088,139.713567
早稲田大学早稲田キャンパス,131041,東京都,新宿区,東京都新宿区西早稲田1-6-1,35.709344,139.719437
落合第一小学校,131041,東京都,新宿区,東京都新宿区中落合2-13-27,35.719539,139.691473
落合第二小学校,131041,東京都,新宿区,東京都新宿区上落合2-10-23,35.712872,139.688803
落合第四小学校,131041,東京都,新宿区,東京都新宿区下落合2-9-34,35.718323,139.700213
落合中学校,131041,東京都,新宿区,東京都新宿区下落合2-24-6,35.718694,139.700273
東京富士大学,131041,東京都,新宿区,東京都新宿区下落合1-7-7,35.714775,139.701055
落合第三小学校,131041,東京都,新宿区,東京都新宿区西落合1-12-20,35.720826,139.682561
落合第五小学校,131041,東京都,新宿区,東京都新宿区上落合3-1-6,35.714640,139.685607
落合第六小学校,131041,東京都,新宿区,東京都新宿区西落合4-11-21,35.727363,139.678520
落合第二中学校,131041,東京都,新宿区,東京都新宿区西落合1-6-5,35.721451,139.684714
淀橋第四小学校,131041,東京都,新宿区,東京都新宿区北新宿3-17-1,35.703942,139.690851
柏木小学校,131041,東京都,新宿区,東京都新宿区北新宿2-11-1,35.700511,139.689399
西新宿中学校,131041,東京都,新宿区,東京都新宿区西新宿8-2-44,35.696080,139.694999
西新宿小学校,131041,東京都,新宿区,東京都新宿区西新宿4-35-5,35.686160,139.687911
愛日小学校,131041,東京都,新宿区,東京都新宿区北町26,35.699740,139.733696
礫川小学校,131059,東京都,文京区,東京都文京区小石川2-13-2,35.710979,139.747598
柳町小学校,131059,東京都,文京区,東京都文京区小石川1-23-16,35.714533,139.750150
指ヶ谷小学校,131059,東京都,文京区,東京都文京区白山2-28-4,35.717322,139.750758
林町小学校,131059,東京都,文京区,東京都文京区千石2-36-3,35.724336,139.741969
明化小学校,131059,東京都,文京区,東京都文京区千石1-13-9,35.724989,139.744876
青柳小学校,131059,東京都,文京区,東京都文京区大塚5-40-18,35.721521,139.724826
関口台町小学校,131059,東京都,文京区,東京都文京区関口2-6-1,35.711830,139.726884
小日向台町小学校,131059,東京都,文京区,東京都文京区小日向2-3-8,35.713209,139.735506
金富小学校,131059,東京都,文京区,東京都文京区春日2-6-15,35.710838,139.741606
窪町小学校,131059,東京都,文京区,東京都文京区大塚3-2-3,35.719204,139.735841
大塚小学校,131059,東京都,文京区,東京都文京区大塚4-1-7,35.723729,139.736353
湯島小学校,131059,東京都,文京区,東京都文京区湯島2-28-14,35.706521,139.766303
誠之小学校,131059,東京都,文京区,東京都文京区西片2-14-6,35.717923,139.754110
根津小学校,131059,東京都,文京区,東京都文京区根津1-14-3,35.718536,139.762989
千駄木小学校,131059,東京都,文京区,東京都文京区千駄木5-44-2,35.729170,139.759082
汐見小学校,131059,東京都,文京区,東京都文京区千駄木2-19-23,35.723629,139.760908
昭和小学校,131059,東京都,文京区,東京都文京区本駒込2-28-31,35.731595,139.749268
駒本小学校,131059,東京都,文京区,東京都文京区向丘2-37-5,35.724416,139.754511
駕籠町小学校,131059,東京都,文京区,東京都文京区本駒込2-29-6,35.728562,139.745920
本郷小学校,131059,東京都,文京区,東京都文京区本郷4-5-15,35.708053,139.758201
旧元町小学校,131059,東京都,文京区,東京都文京区本郷1-1-19,35.702841,139.758024
第一中学校,131059,東京都,文京区,東京都文京区小石川5-8-9,35.718081,139.738822
第三中学校,131059,東京都,文京区,東京都文京区春日1-9-31,35.709107,139.747040
第六中学校,131059,東京都,文京区,東京都文京区向丘1-2-2,35.716897,139.757472
第八中学校,131059,東京都,文京区,東京都文京区千駄木2-19-22,35.724371,139.761352
第九中学校,131059,東京都,文京区,東京都文京区本駒込3-28-9,35.729644,139.752716
第十中学校,131059,東京都,文京区,東京都文京区千石2-40-17,35.723819,139.742834
文林中学校,131059,東京都,文京区,東京都文京区千駄木5-25-10,35.727907,139.758642
茗台中学校,131059,東京都,文京区,東京都文京区春日2-9-5,35.713438,139.741154
本郷台中学校,131059,東京都,文京区,東京都文京区本郷2-38-23,35.706555,139.758923
音羽中学校,131059,東京都,文京区,東京都文京区大塚1-9-24,35.717264,139.732807
文京江戸川橋体育館,131059,東京都,文京区,東京都文京区小日向1-7-4,35.710398,139.735532
教育センター,131059,東京都,文京区,東京都文京区湯島4-7-10,35.708849,139.765769
上野小学校,131067,東京都,台東区,東京都台東区東上野6-16-8,35.713584,139.783289
平成小学校,131067,東京都,台東区,東京都台東区台東4-21-15,35.706551,139.780072
根岸小学校,131067,東京都,台東区,東京都台東区根岸3-9-8,35.723648,139.778959
東泉小学校,131067,東京都,台東区,東京都台東区三ノ輪1-23-9,35.728345,139.792122
忍岡小学校,131067,東京都,台東区,東京都台東区池之端2-1-22,35.713779,139.766774
谷中小学校,131067,東京都,台東区,東京都台東区谷中2-9-16,35.723932,139.765351
金曽木小学校,131067,東京都,台東区,東京都台東区根岸4-16-22,35.725718,139.785369
黒門小学校,131067,東京都,台東区,東京都台東区上野1-16-20,35.707025,139.771378
大正小学校,131067,東京都,台東区,東京都台東区入谷2-23-8,35.720949,139.787973
浅草小学校,131067,東京都,台東区,東京都台東区花川戸1-14-15,35.713529,139.799243
台東育英小学校,131067,東京都,台東区,東京都台東区浅草橋2-26-8,35.700293,139.785773
蔵前小学校,131067,東京都,台東区,東京都台東区蔵前4-19-11,35.704394,139.789264
東浅草小学校,131067,東京都,台東区,東京都台東区東浅草2-27-19,35.724372,139.798510
富士小学校,131067,東京都,台東区,東京都台東区浅草4-48-9,35.718738,139.798367
松葉小学校,131067,東京都,台東区,東京都台東区松が谷1-13-16,35.712291,139.786483
千束小学校,131067,東京都,台東区,東京都台東区浅草4-24-11,35.719193,139.793993
石浜小学校,131067,東京都,台東区,東京都台東区清川1-14-21,35.724909,139.803420
田原小学校,131067,東京都,台東区,東京都台東区雷門1-5-14,35.710170,139.793163
金竜小学校,131067,東京都,台東区,東京都台東区千束1-9-9,35.718613,139.790166
旧下谷小学校,131067,東京都,台東区,東京都台東区東上野4-7-9,35.713127,139.780055
旧坂本小学校,131067,東京都,台東区,東京都台東区下谷1-12-8,35.720110,139.782150
旧柳北小学校,131067,東京都,台東区,東京都台東区浅草橋5-1-35,35.699544,139.782521
中小企業振興センター,131067,東京都,台東区,東京都台東区小島2-9-10,35.706162,139.783916
たなか多目的センター,131067,東京都,台東区,東京都台東区日本堤2-25-4,35.727887,139.797242
ことぶきこども園,131067,東京都,台東区,東京都台東区寿1-10-9,35.707137,139.789140
御徒町台東中学校,131067,東京都,台東区,東京都台東区台東4-13-16,35.706952,139.777389
柏葉中学校,131067,東京都,台東区,東京都台東区下谷3-1-29,35.723281,139.786178
上野中学校,131067,東京都,台東区,東京都台東区上野桜木1-14-55,35.721316,139.774960
忍岡中学校,131067,東京都,台東区,東京都台東区上野公園18-20,35.719074,139.779239
浅草中学校,131067,東京都,台東区,東京都台東区蔵前1-3-4,35.699929,139.789954
桜橋中学校,131067,東京都,台東区,東京都台東区今戸2-1-8,35.720748,139.806949
駒形中学校,131067,東京都,台東区,東京都台東区北上野2-15-1,35.717523,139.784229
旧竜泉中学校,131067,東京都,台東区,東京都台東区竜泉2-10-6,35.725304,139.789645
都立白?高等学校附属中学校,131067,東京都,台東区,東京都台東区元浅草3-12-12,35.707242,139.787727
都立白?高等学校,131067,東京都,台東区,東京都台東区元浅草1-6-22,35.708292,139.783029
都立忍岡高等学校,131067,東京都,台東区,東京都台東区浅草橋5-1-24,35.700444,139.782454
都立浅草高等学校,131067,東京都,台東区,東京都台東区今戸1-8-13,35.719383,139.802513
都立蔵前工業高等学校,131067,東京都,台東区,東京都台東区蔵前1-3-57,35.700473,139.791022
都立上野高等学校,131067,東京都,台東区,東京都台東区上野公園10-14,35.718558,139.769989
台東一丁目区民館,131067,東京都,台東区,東京都台東区台東1-25-5,35.701847,139.777877
東上野区民館,131067,東京都,台東区,東京都台東区東上野3-24-6,35.711219,139.779713
老人福祉センター,131067,東京都,台東区,東京都台東区東上野2-25-14,35.709540,139.781584
生涯学習センター,131067,東京都,台東区,東京都台東区西浅草3-25-16,35.717287,139.789878
産業研修センター,131067,東京都,台東区,東京都台東区橋場1-36-2,35.724048,139.808248
福祉プラザ台東清峰会,131067,東京都,台東区,東京都台東区清川2-14-7,35.727170,139.801304
両国小学校,131075,東京都,墨田区,東京都墨田区両国4-26-6,35.693751,139.795204
緑小学校,131075,東京都,墨田区,東京都墨田区緑2-12-12,35.694040,139.801320
中和小学校,131075,東京都,墨田区,東京都墨田区菊川1-18-10,35.690130,139.802615
菊川小学校,131075,東京都,墨田区,東京都墨田区立川4-12-15,35.691643,139.807652
錦糸小学校,131075,東京都,墨田区,東京都墨田区錦糸1-9-12,35.698439,139.811382
柳島小学校,131075,東京都,墨田区,東京都墨田区横川5-2-30,35.703282,139.817488
業平小学校,131075,東京都,墨田区,東京都墨田区業平2-4-8,35.706507,139.811490
言問小学校,131075,東京都,墨田区,東京都墨田区向島5-40-14,35.718766,139.811393
墨田中学校,131075,東京都,墨田区,東京都墨田区向島4-25-22,35.715225,139.811417
小梅小学校,131075,東京都,墨田区,東京都墨田区向島2-4-10,35.714445,139.805910
本所中学校,131075,東京都,墨田区,東京都墨田区東駒形3-1-10,35.705318,139.802892
横川小学校,131075,東京都,墨田区,東京都墨田区東駒形4-18-4,35.706935,139.805932
外手小学校,131075,東京都,墨田区,東京都墨田区本所2-1-16,35.702503,139.800588
両国中学校,131075,東京都,墨田区,東京都墨田区横網1-8-1,35.697783,139.796231
二葉小学校,131075,東京都,墨田区,東京都墨田区石原2-1-5,35.699342,139.800385
錦糸中学校,131075,東京都,墨田区,東京都墨田区石原4-33-14,35.701436,139.806927
竪川中学校,131075,東京都,墨田区,東京都墨田区亀沢4-11-15,35.696737,139.805662
立花吾嬬の森小学校,131075,東京都,墨田区,東京都墨田区立花1-18-6,35.706647,139.829360
立花幼稚園他,131075,東京都,墨田区,東京都墨田区立花1-25-9他,35.704811,139.831694
東吾嬬小学校,131075,東京都,墨田区,東京都墨田区立花4-22-11,35.708519,139.832063
吾嬬立花中学校,131075,東京都,墨田区,東京都墨田区立花5-48-2,35.712770,139.832051
中川小学校,131075,東京都,墨田区,東京都墨田区立花5-49-4,35.713487,139.831474
八広地域プラザ,131075,東京都,墨田区,東京都墨田区八広4-35-17,35.723474,139.829311
八広小学校,131075,東京都,墨田区,東京都墨田区八広5-12-15,35.727154,139.826251
吾嬬第二中学校,131075,東京都,墨田区,東京都墨田区八広4-4-4,35.721863,139.827280
寺島中学校,131075,東京都,墨田区,東京都墨田区八広1-17-15,35.720175,139.823090
第三吾嬬小学校,131075,東京都,墨田区,東京都墨田区八広2-36-3,35.717163,139.827876
第四吾嬬小学校,131075,東京都,墨田区,東京都墨田区京島3-64-9,35.713453,139.825232
曳舟小学校,131075,東京都,墨田区,東京都墨田区京島1-28-2,35.716508,139.821244
文花中学校,131075,東京都,墨田区,東京都墨田区文花1-22-7,35.710226,139.822286
押上小学校,131075,東京都,墨田区,東京都墨田区押上3-46-17,35.712110,139.819593
第一寺島小学校,131075,東京都,墨田区,東京都墨田区東向島1-16-2,35.721632,139.814552
第三寺島小学校,131075,東京都,墨田区,東京都墨田区東向島6-8-1,35.721399,139.820399
旧向島中学校,131075,東京都,墨田区,東京都墨田区東向島4-18-9,35.726099,139.817094
第二寺島小学校,131075,東京都,墨田区,東京都墨田区東向島4-30-2,35.724128,139.818917
梅若小学校,131075,東京都,墨田区,東京都墨田区墨田2-25-1,35.730366,139.815480
旧隅田小学校,131075,東京都,墨田区,東京都墨田区墨田5-49-5,35.736010,139.820952
隅田小学校,131075,東京都,墨田区,東京都墨田区墨田4-6-5,35.734114,139.821843
桜堤中学校,131075,東京都,墨田区,東京都墨田区堤通2-19-1,35.730026,139.811427
木下川吾亦紅,131075,東京都,墨田区,東京都墨田区東墨田2-15-2,35.721968,139.833130
明治小学校,131083,東京都,江東区,東京都江東区深川2-17-26,35.676033,139.798250
深川小学校,131083,東京都,江東区,東京都江東区高橋14-10,35.686048,139.799501
八名川小学校,131083,東京都,江東区,東京都江東区新大橋3-1-15,35.686981,139.795377
臨海小学校,131083,東京都,江東区,東京都江東区門前仲町1-1-6,35.672515,139.792979
越中島小学校,131083,東京都,江東区,東京都江東区越中島3-6-38,35.666024,139.796180
数矢小学校,131083,東京都,江東区,東京都江東区富岡1-18-7,35.672554,139.799768
平久小学校（平久幼稚園）,131083,東京都,江東区,東京都江東区木場1-2-2,35.668039,139.802208
東陽小学校,131083,東京都,江東区,東京都江東区東陽3-27-12,35.670662,139.815460
南陽小学校,131083,東京都,江東区,東京都江東区東陽2-1-20,35.668455,139.814035
川南小学校（川南幼稚園）,131083,東京都,江東区,東京都江東区千石2-9-12,35.679725,139.816824
扇橋小学校,131083,東京都,江東区,東京都江東区石島18-5,35.681249,139.811716
元加賀小学校,131083,東京都,江東区,東京都江東区白河4-3-19,35.682255,139.808580
毛利小学校,131083,東京都,江東区,東京都江東区毛利2-2-2,35.691324,139.816285
東川小学校,131083,東京都,江東区,東京都江東区住吉1-12-2,35.688352,139.812313
豊洲小学校（豊洲幼稚園）,131083,東京都,江東区,東京都江東区豊洲4-4-4,35.653966,139.798876
豊洲西小学校,131083,東京都,江東区,東京都江東区豊洲5-1-35,35.651236,139.794971
豊洲北小学校,131083,東京都,江東区,東京都江東区豊洲3-6-1,35.658603,139.797893
東雲小学校,131083,東京都,江東区,東京都江東区東雲2-4-11,35.642555,139.799212
有明小学校,131083,東京都,江東区,東京都江東区有明2-10-1,35.640126,139.796147
枝川小学校,131083,東京都,江東区,東京都江東区枝川3-5-3,35.659457,139.809987
辰巳小学校（辰巳幼稚園）,131083,東京都,江東区,東京都江東区辰巳1-11-1,35.646615,139.809968
第二辰巳小学校,131083,東京都,江東区,東京都江東区辰巳1-1-22,35.648307,139.808432
第一亀戸小学校（第一亀戸幼稚園）,131083,東京都,江東区,東京都江東区亀戸2-5-7,35.698680,139.822369
第二亀戸小学校（第二亀戸幼稚園）,131083,東京都,江東区,東京都江東区亀戸6-36-1,35.695469,139.830178
香取小学校,131083,東京都,江東区,東京都江東区亀戸4-26-22,35.703514,139.826389
浅間竪川小学校,131083,東京都,江東区,東京都江東区亀戸9-22-4,35.698738,139.841698
水神小学校,131083,東京都,江東区,東京都江東区亀戸5-22-22,35.700132,139.828514
第一大島小学校,131083,東京都,江東区,東京都江東区大島2-41-4,35.689728,139.825394
第二大島小学校,131083,東京都,江東区,東京都江東区大島3-16-2,35.689577,139.830134
第三大島小学校,131083,東京都,江東区,東京都江東区大島9-5-3,35.692584,139.845253
第四大島小学校,131083,東京都,江東区,東京都江東区大島6-7-8,35.691219,139.834353
第五大島小学校,131083,東京都,江東区,東京都江東区大島8-40-13,35.688356,139.844464
大島南央小学校,131083,東京都,江東区,東京都江東区大島4-18-5,35.687269,139.831565
砂町小学校,131083,東京都,江東区,東京都江東区北砂4-13-23,35.677664,139.829283
第二砂町小学校,131083,東京都,江東区,東京都江東区東砂7-17-30,35.674848,139.838859
第三砂町小学校,131083,東京都,江東区,東京都江東区南砂6-3-13,35.672682,139.833250
第四砂町小学校,131083,東京都,江東区,東京都江東区南砂2-13-18,35.674633,139.821556
第五砂町小学校,131083,東京都,江東区,東京都江東区東砂8-11-5,35.667496,139.839104
第六砂町小学校,131083,東京都,江東区,東京都江東区北砂6-26-6,35.682110,139.838524
第七砂町小学校,131083,東京都,江東区,東京都江東区東砂3-21-5,35.678900,139.842301
小名木川小学校（小名木川幼稚園）,131083,東京都,江東区,東京都江東区北砂5-22-10,35.682377,139.831155
東砂小学校,131083,東京都,江東区,東京都江東区東砂2-12-14,35.683340,139.844334
北砂小学校,131083,東京都,江東区,東京都江東区北砂1-3-36,35.683134,139.823536
南砂小学校,131083,東京都,江東区,東京都江東区南砂2-3-21,35.671898,139.825036
亀高小学校,131083,東京都,江東区,東京都江東区北砂5-20-16,35.684933,139.834110
深川第一中学校,131083,東京都,江東区,東京都江東区森下4-9-22,35.685285,139.805968
